Reported Date,Name of Entity,Dates of Breach,State Reported,Source(s),Link to PDF,Start Date of Breach,End Date of Breach
2016-07-19 00:00:00,"San Antonio Shoemakers, Inc.",04/21/2016 to 06/13/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SanAntonioShoemakersInc%28SAS%29.pdf,2016-04-21 00:00:00,2016-06-13 00:00:00
2016-07-16 00:00:00,NLU Products LLC,06/08/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NLUProductsLLC.pdf,2016-06-08 00:00:00,
2016-07-08 00:00:00,Omni Hotels and Resorts,12/23/2015 to 06/14/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/OmniHotelsandResorts.pdf,2015-12-23 00:00:00,2016-06-14 00:00:00
2016-07-06 00:00:00,Wendy's,12/02/2015 to 06/08/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Wendys2016_06.pdf,2015-12-02 00:00:00,2016-06-08 00:00:00
2016-06-28 00:00:00,Noodles and Company,01/31/2016 to 06/02/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NoodlesAndCompany_2016-06.pdf,2016-01-31 00:00:00,2016-06-02 00:00:00
2016-06-27 00:00:00,Hard Rock Hotel & Casino Las Vegas,10/27/2015 to 3/21/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/HardRockHotelAndCasinoLV.pdf,2015-10-27 00:00:00,2016-03-21 00:00:00
2016-06-16 00:00:00,Uber Technologies,05/13/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/UberTechnologiesInc.pdf,2016-05-13 00:00:00,
2016-06-13 00:00:00,The Tax Shack,05/27/2016 to 06/01/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TheTaxShack.pdf,2016-05-27 00:00:00,2016-06-01 00:00:00
2016-06-10 00:00:00,MEI-GSR,02/19/2014 to 03/13/2014 or 03/20/2015 to 08/06/2016,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MEI-GSR_GrandSierraResort2016-06.pdf,2014-02-19 00:00:00,2016-08-06 00:00:00
2016-06-08 00:00:00,Mate1.com,10/2015,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Mate1_2016-06.pdf,2015-10-01 00:00:00,
