Name of Entity,Link to PDF,State Reported,Source(s),Date Notice Provided to Consumers
Vermont Agency of Human Services – VDH ,https://ago.vermont.gov/blog/2019/01/07/vermont-agency-of-human-services-vdh-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-07
Welders Supply ,https://ago.vermont.gov/blog/2019/01/03/welders-supply-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-03
Aimbridge Hospitality ,https://ago.vermont.gov/blog/2018/12/31/aimbridge-hospitality-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-31
Wolverine Solutions Group S,https://ago.vermont.gov/blog/2018/12/28/wolverine-solutions-group-snotice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-28
OXO ,https://ago.vermont.gov/blog/2018/12/28/oxo-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-28
4A’s Benefits ,https://ago.vermont.gov/blog/2018/12/26/4as-benefits-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-26
Bel USA ,https://ago.vermont.gov/blog/2018/12/26/bel-usa-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-26
Benchmade Knife Company ,https://ago.vermont.gov/blog/2018/12/21/benchmade-knife-company-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-21
Warby Parker – Jand Inc ,https://ago.vermont.gov/blog/2018/12/20/warby-parker-jand-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-20
Kestra Investment ,https://ago.vermont.gov/blog/2018/12/20/kestra-investment-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-20
Caribou Coffee Company-Bruggers Enterprises ),https://ago.vermont.gov/blog/2018/12/20/caribou-coffee-company-bruggers-enterprises-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-20
Discover ,https://ago.vermont.gov/blog/2018/12/19/discover-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-19
Dr Ben Lynch LLC ,https://ago.vermont.gov/blog/2018/12/17/dr-ben-lynch-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-17
Infowarstore.com-Free Speech Systems ,https://ago.vermont.gov/blog/2018/12/14/infowarstore-com-free-speech-systems-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-14
Exude Inc ,https://ago.vermont.gov/blog/2018/12/14/exude-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-14
Century Spring ,https://ago.vermont.gov/blog/2018/12/14/century-spring-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-14
